batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,0,,,0.032151222229003906,0.0,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.18036913871765137,0.6590136289596558,5.457730293273926,234.56443786621094,,,
,2,0.9778911471366882,4.968379974365234,,,,,0.05120987072587013,0.0256999172270298,0.004119656980037689,0.9981520175933838,0.05097159370779991,0.051029011607170105,0.05127507448196411,0.05130697414278984,0.050950806587934494,0.050962183624506,0.05170781537890434,0.05109424516558647,0.0508810393512249,0.05117972940206528,0.051653388887643814,0.05139040946960449,0.05124868080019951,0.004137127194553614,0.9983307123184204,0.05105854570865631,0.02570600062608719,0.004200516734272242,0.9968003034591675,0.050811152905225754,0.051035817712545395,0.05099678039550781,0.05024689435958862,0.050690267235040665,0.05079394206404686,0.05108967050909996,0.051169443875551224,0.05104484036564827,0.051202576607465744,0.051277533173561096,0.0505557544529438,0.051255133002996445,0.004183477722108364,0.9981168508529663,0.9956743717193604,0.051073480397462845,11,,,,,0.9351752996444702,5.011300086975098,150.09974670410156
10.0,2,,,0.02390456199645996,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,0.3133690357208252,0.9566326141357422,4.903209686279297,134.72149658203125,,,
,4,1.360544204711914,4.667109966278076,,,,,0.051328253000974655,0.026186257600784302,0.007472343277186155,0.9953780174255371,0.05115656182169914,0.05111079290509224,0.05136709287762642,0.051484040915966034,0.050962988287210464,0.05098038539290428,0.05189017206430435,0.05115899071097374,0.050936661660671234,0.051353078335523605,0.05167378857731819,0.051436930894851685,0.05135625600814819,0.007521384861320257,0.9958363175392151,0.051160454750061035,0.02615456096827984,0.009308334439992905,0.9963158369064331,0.050929173827171326,0.05108928680419922,0.051058314740657806,0.05031965300440788,0.05070076510310173,0.05078887566924095,0.05128396302461624,0.05121547356247902,0.051074251532554626,0.0513041689991951,0.0512736551463604,0.05055416375398636,0.05135371536016464,0.0075103058479726315,0.9953573346138,0.9936056137084961,0.051899589598178864,21,,,,,0.7863974571228027,4.701809406280518,110.14629364013672
10.0,4,,,0.024045944213867188,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.3066074848175049,0.9991496801376343,4.665959358215332,106.26748657226562,,,
,6,1.318027138710022,4.604135036468506,,,,,0.051352810114622116,0.026454895734786987,0.008878775872290134,0.9931055307388306,0.05122347176074982,0.05116407945752144,0.05142815411090851,0.051544930785894394,0.0509907528758049,0.051015473902225494,0.05196300521492958,0.05121177062392235,0.05098428577184677,0.051423680037260056,0.051703669130802155,0.051473166793584824,0.05138825625181198,0.008878404274582863,0.9936757683753967,0.05116775631904602,0.026387114077806473,0.013833964243531227,0.9974594712257385,0.05096958950161934,0.0510961189866066,0.051071953028440475,0.05035323277115822,0.05069246143102646,0.050770800560712814,0.05135398358106613,0.051222216337919235,0.051071494817733765,0.05132748559117317,0.05125659331679344,0.0505441389977932,0.05137147381901741,0.008898847736418247,0.9930658340454102,0.9915968179702759,0.053003959357738495,31,,,,,0.8289054036140442,4.636832237243652,103.21685791015625
10.0,6,,,0.023550748825073242,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,0.1678299903869629,1.3392857313156128,4.613491535186768,100.83560180664062,,,
,8,1.4030611515045166,4.5858073234558105,,,,,0.05130504071712494,0.026544760912656784,0.009324303828179836,0.9910821914672852,0.051194556057453156,0.05118085816502571,0.05144842714071274,0.05151486024260521,0.05100239813327789,0.051030900329351425,0.05194288119673729,0.0512344129383564,0.05100199207663536,0.05139748007059097,0.051720622926950455,0.05149080231785774,0.05136411637067795,0.009280464611947536,0.9916761517524719,0.05110209062695503,0.02646225318312645,0.017057817429304123,0.9980174899101257,0.05093071982264519,0.05105974152684212,0.05103927478194237,0.05029161646962166,0.05065153166651726,0.05072435364127159,0.05133217200636864,0.051181450486183167,0.05102579668164253,0.05127595737576485,0.0512099415063858,0.05050308629870415,0.05132627859711647,0.009418072178959846,0.9909824132919312,0.9896241426467896,0.053889013826847076,41,,,,,0.5951115489006042,4.624744892120361,101.97675323486328
10.0,8,,,0.02487778663635254,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,0.30759716033935547,0.9991496801376343,4.599451065063477,99.42972564697266,,,
,10,1.1692177057266235,4.578960418701172,,,,,0.05122661963105202,0.026547038927674294,0.009339298121631145,0.9892135858535767,0.05112738534808159,0.051192786544561386,0.051461637020111084,0.051434487104415894,0.05102238804101944,0.0510559119284153,0.05188534036278725,0.05125332251191139,0.05101548135280609,0.05133633315563202,0.05174814164638519,0.0515153631567955,0.05131469666957855,0.00925818458199501,0.9897852540016174,0.05101241543889046,0.02646532654762268,0.019152166321873665,0.9977494478225708,0.05085759237408638,0.05100641027092934,0.050989434123039246,0.05019903555512428,0.05059736594557762,0.050665464252233505,0.05126120522618294,0.05111604928970337,0.050956372171640396,0.05120500549674034,0.051150642335414886,0.05044642835855484,0.05124716833233833,0.009586703963577747,0.9890710711479187,0.9876745343208313,0.05449753627181053,51,,,,,0.8501594066619873,4.616175174713135,101.10657501220703
10.0,10,,,0.023298263549804688,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,0.1648719310760498,1.2329931259155273,4.589773178100586,98.47209167480469,,,
,12,1.6581631898880005,4.570400714874268,,,,,0.051141634583473206,0.026520587503910065,0.009075232781469822,0.9875025749206543,0.05104740709066391,0.051246631890535355,0.05151744931936264,0.05134458839893341,0.051095958799123764,0.05113598704338074,0.05182360112667084,0.05131068453192711,0.05106577277183533,0.05125690996646881,0.05181114748120308,0.05157666280865669,0.05126502737402916,0.00898109283298254,0.9879903793334961,0.05091370642185211,0.02643737383186817,0.020610418170690536,0.9969796538352966,0.05077216774225235,0.05096031725406647,0.050944432616233826,0.050106070935726166,0.05055905133485794,0.0506209135055542,0.05115634202957153,0.05104990676045418,0.050887253135442734,0.05113756284117699,0.0511024072766304,0.050399452447891235,0.05113598704338074,0.009522651322185993,0.9872861504554749,0.9857493042945862,0.05492756888270378,61,,,,,0.4463336765766144,4.621536731719971,101.6501235961914
10.0,12,,,0.02381587028503418,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,0.1748056411743164,1.4455782175064087,4.583958625793457,97.90118408203125,,,
,14,1.8707482814788818,4.5558390617370605,,,,,0.05106518045067787,0.026494605466723442,0.008593397215008736,0.986003041267395,0.051006950438022614,0.05139220505952835,0.05167177692055702,0.05131376534700394,0.05127549543976784,0.05132652074098587,0.05179963260889053,0.05145508050918579,0.051203787326812744,0.05119023472070694,0.05196964368224144,0.05172879993915558,0.05126165598630905,0.008538587018847466,0.9862988591194153,0.05082356557250023,0.026398172602057457,0.021669019013643265,0.9960002303123474,0.050689224153757095,0.050955966114997864,0.05094234272837639,0.05001804977655411,0.050572603940963745,0.050627127289772034,0.05107926204800606,0.051017098128795624,0.05085359513759613,0.05110110715031624,0.051109783351421356,0.05041041597723961,0.05104847252368927,0.009246726520359516,0.9856203198432922,0.9838517308235168,0.055269453674554825,71,,,,,0.3613177239894867,4.6396918296813965,103.51244354248047
10.0,14,,,0.02367115020751953,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,0.16474175453186035,1.5306122303009033,4.565213203430176,96.08307647705078,,,
,16,1.8069727420806885,4.533133029937744,,,,,0.05102366581559181,0.026497459039092064,0.007836994715034962,0.9847680330276489,0.05108517408370972,0.0517432726919651,0.052057698369026184,0.05140882357954979,0.05165943130850792,0.05174409598112106,0.05186770483851433,0.05177769809961319,0.05152983218431473,0.05127333849668503,0.052337419241666794,0.052086006850004196,0.05135510861873627,0.008057919330894947,0.9847490787506104,0.05076673999428749,0.026370802894234657,0.02254197932779789,0.9952307343482971,0.050651948899030685,0.05112394317984581,0.05112145096063614,0.05001160874962807,0.05075443908572197,0.05080469697713852,0.051062170416116714,0.05110921338200569,0.050940681248903275,0.05110692232847214,0.05124415084719658,0.050561822950839996,0.05105423927307129,0.008768725208938122,0.9841476082801819,0.9819834232330322,0.05559360980987549,81,,,,,0.5100956559181213,4.682994365692139,108.09326171875
10.0,16,,,0.023393630981445312,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,0.3091113567352295,1.615646243095398,4.54533576965332,94.19204711914062,,,
