batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_mlp.0.bias,paramnorm_mlp.0.weight,paramnorm_mlp.3.bias,paramnorm_mlp.3.weight,paramnorm_mlp.6.bias,paramnorm_mlp.6.weight,paramnorm_mlp.9.bias,paramnorm_mlp.9.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,0,,,0.01255035400390625,0.0,4704.0,4705.0,,,,,,,,,,9,0.07842612266540527,0.7015305757522583,5.469766616821289,237.40478515625,,,
,2,0.9778911471366882,5.410305500030518,,,,,0.9995623826980591,0.026156263425946236,0.026410676538944244,0.0358155183494091,0.03621334955096245,0.037431105971336365,0.03611810877919197,0.035839904099702835,0.036375466734170914,11,,,,,1.0839532613754272,5.411454200744629,223.95703125
10.0,2,,,0.0076830387115478516,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,19,0.1641676425933838,1.1692177057266235,5.34854793548584,210.30271911621094,,,
,4,1.1479591131210327,4.942890644073486,,,,,0.9995623826980591,0.028239039704203606,0.026979491114616394,0.039475470781326294,0.03720445930957794,0.04134778678417206,0.036871276795864105,0.03829289972782135,0.03789817914366722,21,,,,,0.9351752996444702,4.9496636390686035,141.1274871826172
10.0,4,,,0.007637739181518555,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,29,0.16118216514587402,1.0204081535339355,4.818197250366211,123.7418212890625,,,
,6,1.211734652519226,4.594479560852051,,,,,0.9995623826980591,0.032010696828365326,0.028224308043718338,0.04411545395851135,0.03960825502872467,0.045529767870903015,0.03842258080840111,0.0411001555621624,0.04028334841132164,31,,,,,0.8501594066619873,4.629299163818359,102.4422378540039
10.0,6,,,0.0064280033111572266,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,39,0.062068939208984375,0.8928571343421936,4.621223449707031,101.6182861328125,,,
,8,1.1267006397247314,4.590891361236572,,,,,0.9995623826980591,0.033159371465444565,0.028618423268198967,0.045975212007761,0.04036050662398338,0.04747966676950455,0.03889091685414314,0.042563289403915405,0.04171458259224892,41,,,,,0.9351752996444702,4.600292205810547,99.51338958740234
10.0,8,,,0.007306337356567383,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,49,0.1562962532043457,0.9778911471366882,4.620603084564209,101.55525970458984,,,
,10,1.2967686653137207,4.578703880310059,,,,,0.9995623826980591,0.03201901540160179,0.028362136334180832,0.04587259888648987,0.03974241018295288,0.04808969423174858,0.03873447701334953,0.043106965720653534,0.042353689670562744,51,,,,,0.7651434540748596,4.595698356628418,99.05728912353516
10.0,10,,,0.0065364837646484375,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,59,0.06274771690368652,1.1904761791229248,4.597492694854736,99.23519134521484,,,
,12,1.318027138710022,4.578518867492676,,,,,0.9995623826980591,0.03072182834148407,0.028065569698810577,0.04512272775173187,0.03903571516275406,0.0481143482029438,0.038511406630277634,0.043297864496707916,0.042680393904447556,61,,,,,0.701381504535675,4.601856708526611,99.66919708251953
10.0,12,,,0.006407022476196289,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,69,0.06210637092590332,0.9778910875320435,4.593329906463623,98.82295227050781,,,
,14,1.2542517185211182,4.578572750091553,,,,,0.9995623826980591,0.029828829690814018,0.02791864424943924,0.044438574463129044,0.03866276890039444,0.04794125631451607,0.0383870005607605,0.043447598814964294,0.043050576001405716,71,,,,,0.7651434540748596,4.600332736968994,99.51742553710938
10.0,14,,,0.006295204162597656,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,79,0.061872005462646484,1.169217586517334,4.588271617889404,98.3243408203125,,,
,16,1.1692177057266235,4.5768046379089355,,,,,0.9995623826980591,0.029520981013774872,0.027994878590106964,0.04442622512578964,0.038763150572776794,0.04800226539373398,0.038417667150497437,0.04357129707932472,0.04369085654616356,81,,,,,0.9139213562011719,4.602029323577881,99.6864013671875
10.0,16,,,0.007772207260131836,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,89,0.15160870552062988,1.1692177057266235,4.583584785461426,97.86459350585938,,,
,18,1.2542517185211182,4.572399139404297,,,,,0.9995623826980591,0.029389113187789917,0.028149720281362534,0.044659167528152466,0.039048660546541214,0.04813389852643013,0.03850475698709488,0.04362383857369423,0.04444216936826706,91,,,,,0.8076514005661011,4.600220680236816,99.50627136230469
10.0,18,,,0.006331205368041992,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,99,0.061892032623291016,1.318027138710022,4.580492973327637,97.5624771118164,,,
,20,1.1692177057266235,4.571104526519775,,,,,0.9995623826980591,0.029132302850484848,0.028295177966356277,0.044727031141519547,0.03933267667889595,0.04816756397485733,0.038587868213653564,0.0436931848526001,0.045132216066122055,101,,,,,0.8926673531532288,4.600651741027832,99.54917907714844
