batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_fc.bias,paramnorm_fc.weight,paramnorm_lstm.bias_hh_l0,paramnorm_lstm.bias_hh_l1,paramnorm_lstm.bias_ih_l0,paramnorm_lstm.bias_ih_l1,paramnorm_lstm.weight_hh_l0,paramnorm_lstm.weight_hh_l1,paramnorm_lstm.weight_ih_l0,paramnorm_lstm.weight_ih_l1,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,0,,,0.020463228225708008,0.0,4704.0,4705.0,,,,,,,,,,,,9,0.09283328056335449,0.7440476417541504,5.475559234619141,238.78396606445312,,,
,2,1.0204081535339355,5.443637371063232,,,,,0.9949743151664734,0.04999363794922829,0.051367033272981644,0.05026272311806679,0.05248640850186348,0.05195637047290802,0.05181264877319336,0.05113943666219711,0.05124162510037422,0.05106306076049805,0.05119134858250618,11,,,,,1.041445255279541,5.4424333572387695,231.0036163330078
10.0,2,,,0.010847806930541992,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,19,0.1927785873413086,1.0204081535339355,5.425573348999023,227.14154052734375,,,
,4,1.0204081535339355,5.327719688415527,,,,,0.9949743151664734,0.05168755725026131,0.05309319868683815,0.05193350091576576,0.05442114919424057,0.05373077839612961,0.05402407795190811,0.05192765220999718,0.05226639285683632,0.05119124427437782,0.052151236683130264,21,,,,,1.041445255279541,5.3275837898254395,205.9397735595703
10.0,4,,,0.011241912841796875,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,29,0.18609619140625,1.084183692932129,5.273321151733398,195.06272888183594,,,
,6,1.1267006397247314,5.003734111785889,,,,,0.9949743151664734,0.05460372194647789,0.056455858051776886,0.055770549923181534,0.05846097692847252,0.0573614127933979,0.058289866894483566,0.05426719784736633,0.05478605628013611,0.051769133657217026,0.05463593080639839,31,,,,,0.9351752996444702,5.006861686706543,149.43502807617188
10.0,6,,,0.009176254272460938,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,39,0.07581067085266113,1.1267006397247314,4.911760330200195,135.87840270996094,,,
,8,1.1267006397247314,4.6477580070495605,,,,,0.9949743151664734,0.05771978944540024,0.06110985949635506,0.06199362128973007,0.06425975263118744,0.06331806629896164,0.06438149511814117,0.05904906988143921,0.05934920907020569,0.053183939307928085,0.05931824445724487,41,,,,,0.9351752996444702,4.663119792938232,105.9661636352539
10.0,8,,,0.011096477508544922,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,49,0.1888585090637207,1.1267006397247314,4.633150100708008,102.8375015258789,,,
,10,1.1267006397247314,4.581697463989258,,,,,0.9949743151664734,0.05968816578388214,0.06482350081205368,0.0675792247056961,0.0688461884856224,0.06871428340673447,0.06909105181694031,0.06401247531175613,0.06355279684066772,0.0547030083835125,0.0636863261461258,51,,,,,0.9351752996444702,4.608244895935059,100.30793762207031
10.0,10,,,0.008924722671508789,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,59,0.07499527931213379,0.9353741407394409,4.587116241455078,98.21080780029297,,,
,12,1.2542517185211182,4.578617095947266,,,,,0.9949743151664734,0.06064097583293915,0.06685758382081985,0.0703289583325386,0.07095343619585037,0.07138369977474213,0.0712461918592453,0.06659635901451111,0.06549505144357681,0.055503249168395996,0.06573212146759033,61,,,,,0.8076514005661011,4.597692012786865,99.25496673583984
10.0,12,,,0.009012222290039062,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,69,0.0750119686126709,1.1267006397247314,4.5836992263793945,97.87579345703125,,,
,14,1.062925100326538,4.575650691986084,,,,,0.9949743151664734,0.061029836535453796,0.06786498427391052,0.0713285505771637,0.07171350717544556,0.07235921919345856,0.0720355436205864,0.0675058662891388,0.06616565585136414,0.055803291499614716,0.06643488258123398,71,,,,,0.9351752996444702,4.589710712432861,98.4659423828125
10.0,14,,,0.009260892868041992,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,79,0.08328843116760254,0.9778910875320435,4.581573486328125,97.66795349121094,,,
,16,1.211734652519226,4.576333522796631,,,,,0.9949743151664734,0.06114109233021736,0.06841641664505005,0.07164542376995087,0.07196073979139328,0.07267311960458755,0.07232536375522614,0.06776893883943558,0.06640452146530151,0.05590690299868584,0.06667465716600418,81,,,,,0.8501594066619873,4.593841552734375,98.87352752685547
10.0,16,,,0.010863065719604492,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,89,0.2149803638458252,1.211734652519226,4.581446647644043,97.65556335449219,,,
,18,1.1479591131210327,4.576460838317871,,,,,0.9949743151664734,0.061260513961315155,0.06877895444631577,0.07162642478942871,0.07205227762460709,0.07265308499336243,0.07236986607313156,0.067699134349823,0.06643537431955338,0.055920492857694626,0.06669705361127853,91,,,,,0.9139213562011719,4.594723701477051,98.96078491210938
10.0,18,,,0.008958816528320312,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,99,0.08346796035766602,1.062925100326538,4.580791473388672,97.59160614013672,,,
,20,1.1479591131210327,4.575437545776367,,,,,0.9949743151664734,0.06133647263050079,0.06907007843255997,0.07141432911157608,0.07196857780218124,0.07244498282670975,0.07232814282178879,0.0674319788813591,0.06636574119329453,0.055892810225486755,0.06661483645439148,101,,,,,0.9139213562011719,4.591894626617432,98.68121337890625
10.0,20,,,0.009061813354492188,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,109,0.08325481414794922,1.1692177057266235,4.58091402053833,97.60356903076172,,,
,22,1.1479591131210327,4.575335502624512,,,,,0.9949743151664734,0.061292458325624466,0.06935753673315048,0.07121453434228897,0.07187671959400177,0.07225604355335236,0.07227662205696106,0.0671953335404396,0.06632121652364731,0.055877890437841415,0.06655418127775192,111,,,,,0.9139213562011719,4.592494487762451,98.74043273925781
10.0,22,,,0.00935983657836914,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,119,0.07860660552978516,1.084183692932129,4.580261707305908,97.5399169921875,,,
,24,1.1692177057266235,4.574413299560547,,,,,0.9949743151664734,0.06132042035460472,0.06965836137533188,0.07102488726377487,0.07182788103818893,0.07207341492176056,0.07217172533273697,0.06697985529899597,0.0662858784198761,0.05587702989578247,0.06650277972221375,121,,,,,0.8926673531532288,4.594411849975586,98.929931640625
10.0,24,,,0.008906841278076172,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,129,0.07329201698303223,0.9353741407394409,4.578408718109131,97.35934448242188,,,
,26,1.3392857313156128,4.573950290679932,,,,,0.9949743151664734,0.0613953098654747,0.06998178362846375,0.07081115990877151,0.07178816944360733,0.07186638563871384,0.07209043204784393,0.06672936677932739,0.06623584032058716,0.055883921682834625,0.0664452388882637,131,,,,,0.701381504535675,4.596403121948242,99.12712097167969
10.0,26,,,0.008959770202636719,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,,139,0.07379889488220215,1.1479592323303223,4.578751564025879,97.39273071289062,,,
,28,1.4880951642990112,4.574328899383545,,,,,0.9949743151664734,0.06143815442919731,0.07033515721559525,0.0705922320485115,0.0717112123966217,0.07166095077991486,0.07202107459306717,0.06649871170520782,0.06617192178964615,0.05590267479419708,0.06637787073850632,141,,,,,0.5738576054573059,4.594634056091309,98.95191192626953
