batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_mlp.0.bias,paramnorm_mlp.0.weight,paramnorm_mlp.3.bias,paramnorm_mlp.3.weight,paramnorm_mlp.6.bias,paramnorm_mlp.6.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,0,,,0.01266169548034668,0.0,4704.0,4705.0,,,,,,,,9,0.08636069297790527,0.680272102355957,5.4683942794799805,237.07920837402344,,,
,2,1.062925100326538,5.417012691497803,,,,,0.9994481801986694,0.02709571272134781,0.02645251154899597,0.035913705825805664,0.036307234317064285,0.03820842131972313,0.03645649179816246,11,,,,,0.9989372491836548,5.419186115264893,225.6953582763672
10.0,2,,,0.0057790279388427734,0.0010000000474974513,4704.0,4705.0,,,,,,,,19,0.15195369720458984,1.0629252195358276,5.379120826721191,216.83155822753906,,,
,4,1.1904761791229248,5.164798736572266,,,,,0.9994481801986694,0.029820816591382027,0.026935379952192307,0.03932233899831772,0.037327878177165985,0.04045505076646805,0.0382395014166832,21,,,,,0.7863974571228027,5.171959400177002,176.25985717773438
10.0,4,,,0.00577545166015625,0.0010000000474974513,4704.0,4705.0,,,,,,,,29,0.15515565872192383,1.4455782175064087,5.061184883117676,157.77734375,,,
,6,1.1904761791229248,4.69765567779541,,,,,0.9994481801986694,0.03510230779647827,0.028225025162100792,0.04421452432870865,0.0400087907910347,0.04381436109542847,0.04145987704396248,31,,,,,0.8714133501052856,4.718148231506348,111.96073913574219
10.0,6,,,0.0051386356353759766,0.0010000000474974513,4704.0,4705.0,,,,,,,,39,0.050065040588378906,1.2542517185211182,4.667694091796875,106.45198822021484,,,
,8,1.211734652519226,4.579133033752441,,,,,0.9994481801986694,0.04119144007563591,0.02981591410934925,0.04828663170337677,0.04318048432469368,0.0463106669485569,0.04485245421528816,41,,,,,0.8289054036140442,4.6151299476623535,101.0009536743164
10.0,8,,,0.005456447601318359,0.0010000000474974513,4704.0,4705.0,,,,,,,,49,0.14783620834350586,1.1904761791229248,4.591341495513916,98.62664794921875,,,
,10,1.2542517185211182,4.573148727416992,,,,,0.9994481801986694,0.04406458139419556,0.030636079609394073,0.05015664920210838,0.0446234792470932,0.047475267201662064,0.046848952770233154,51,,,,,0.8076514005661011,4.598927021026611,99.37763214111328
10.0,10,,,0.005142927169799805,0.0010000000474974513,4704.0,4705.0,,,,,,,,59,0.051531314849853516,1.1054421663284302,4.587491035461426,98.24761962890625,,,
,12,1.2542517185211182,4.570599555969238,,,,,0.9994481801986694,0.044586654752492905,0.030905619263648987,0.05075787007808685,0.04498288407921791,0.04789789766073227,0.04781156778335571,61,,,,,0.8076514005661011,4.598022937774658,99.2878189086914
10.0,12,,,0.00524139404296875,0.0010000000474974513,4704.0,4705.0,,,,,,,,69,0.05118727684020996,1.360544204711914,4.584140300750732,97.9189682006836,,,
,14,1.2755101919174194,4.567012786865234,,,,,0.9994481801986694,0.043917134404182434,0.030951518565416336,0.05076877400279045,0.04493695870041847,0.048067230731248856,0.048307377845048904,71,,,,,0.8076514005661011,4.6038970947265625,99.87276458740234
10.0,14,,,0.004956960678100586,0.0010000000474974513,4704.0,4705.0,,,,,,,,79,0.05000615119934082,1.084183692932129,4.583799362182617,97.88558959960938,,,
,16,1.2329931259155273,4.565245151519775,,,,,0.9994481801986694,0.04274645075201988,0.030952148139476776,0.05057596042752266,0.04480834677815437,0.048111435025930405,0.04865308105945587,81,,,,,0.8926673531532288,4.602785110473633,99.76177978515625
10.0,16,,,0.00804758071899414,0.0010000000474974513,4704.0,4705.0,,,,,,,,89,0.2073228359222412,1.232993245124817,4.5745954513549805,96.9887924194336,,,
,18,1.8707482814788818,4.561203479766846,,,,,0.9994481801986694,0.041680242866277695,0.031021684408187866,0.05030558258295059,0.044788576662540436,0.048093412071466446,0.04901807755231857,91,,,,,0.40382570028305054,4.608260154724121,100.3094711303711
10.0,18,,,0.008001089096069336,0.0010000000474974513,4704.0,4705.0,,,,,,,,99,0.07346343994140625,1.4243197441101074,4.568866729736328,96.43476104736328,,,
,20,1.892006754875183,4.559080600738525,,,,,0.9994481801986694,0.04070241004228592,0.031165674328804016,0.050046294927597046,0.04487460106611252,0.04812248423695564,0.04953596368432045,101,,,,,0.2975557744503021,4.611787796020508,100.66394805908203
10.0,20,,,0.007387638092041016,0.0010000000474974513,4704.0,4705.0,,,,,,,,109,0.07435941696166992,1.4243197441101074,4.56912088394165,96.45927429199219,,,
,22,2.062074899673462,4.555654048919678,,,,,0.9994481801986694,0.03980491682887077,0.031387489289045334,0.04979753494262695,0.045069146901369095,0.048116035759449005,0.05027547478675842,111,,,,,0.2763018012046814,4.6111531257629395,100.60008239746094
10.0,22,,,0.007471323013305664,0.0010000000474974513,4704.0,4705.0,,,,,,,,119,0.07351350784301758,1.6369047164916992,4.56204891204834,95.7795181274414,,,
,24,1.1692177057266235,4.552406311035156,,,,,0.9994481801986694,0.03931278735399246,0.03171920403838158,0.04960374906659126,0.04542209953069687,0.04808828979730606,0.05123022198677063,121,,,,,0.8926673531532288,4.616816997528076,101.17149353027344
10.0,24,,,0.007353782653808594,0.0010000000474974513,4704.0,4705.0,,,,,,,,129,0.07422041893005371,1.3818026781082153,4.562944412231445,95.8653335571289,,,
,26,1.46683669090271,4.548601150512695,,,,,0.9994481801986694,0.038704097270965576,0.03209318593144417,0.0494006983935833,0.04581461101770401,0.04812446981668472,0.0523645356297493,131,,,,,0.5313495993614197,4.622611999511719,101.75948333740234
10.0,26,,,0.00749969482421875,0.0010000000474974513,4704.0,4705.0,,,,,,,,139,0.07422828674316406,1.360544204711914,4.5580034255981445,95.39282989501953,,,
,28,1.2967686653137207,4.543650150299072,,,,,0.9994481801986694,0.037987370043992996,0.03250780329108238,0.049176257103681564,0.04625445604324341,0.04824093356728554,0.053685177117586136,141,,,,,0.7651434540748596,4.62405252456665,101.90617370605469
10.0,28,,,0.0073261260986328125,0.0010000000474974513,4704.0,4705.0,,,,,,,,149,0.07238936424255371,1.2967686653137207,4.551599502563477,94.78388977050781,,,
,30,1.8707482814788818,4.539124488830566,,,,,0.9994481801986694,0.03753388300538063,0.032996490597724915,0.04897396266460419,0.04681237414479256,0.04831515625119209,0.05518299713730812,151,,,,,0.3825717270374298,4.62639045715332,102.14470672607422
10.0,30,,,0.007623195648193359,0.0010000000474974513,4704.0,4705.0,,,,,,,,159,0.07352662086486816,1.9770407676696777,4.5467729568481445,94.32752227783203,,,
,32,2.74234676361084,4.532144546508789,,,,,0.9994481801986694,0.0372617170214653,0.033545445650815964,0.04874594509601593,0.047460731118917465,0.04832008108496666,0.05682913959026337,161,,,,,0.21253985166549683,4.631256580352783,102.6429672241211
10.0,32,,,0.008987665176391602,0.0010000000474974513,4704.0,4705.0,,,,,,,,169,0.20203423500061035,1.8069727420806885,4.541092872619629,93.79325103759766,,,
,34,2.6998298168182373,4.526596546173096,,,,,0.9994481801986694,0.03705499693751335,0.034148890525102615,0.04842390865087509,0.048184413462877274,0.04835361987352371,0.058574169874191284,171,,,,,0.21253985166549683,4.638572692871094,103.39666748046875
