batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_linear.weight,paramnorm_lstm.bias_hh_l0,paramnorm_lstm.bias_hh_l1,paramnorm_lstm.bias_ih_l0,paramnorm_lstm.bias_ih_l1,paramnorm_lstm.weight_hh_l0,paramnorm_lstm.weight_hh_l1,paramnorm_lstm.weight_ih_l0,paramnorm_lstm.weight_ih_l1,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
,65535,100.0,1.266090379203888e-07,,,,,1.0651211738586426,3.295196533203125,0.15086901187896729,0.43386024236679077,0.15468250215053558,0.4308055639266968,0.2528883218765259,0.31973907351493835,0.208860382437706,0.2633238136768341,327689,,,,,4.1020188331604,8.904937744140625,7368.2666015625
10.0,65536,,,0.010946035385131836,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,327699,0.17798686027526855,100.0,1.235299009749724e-07,1.0000001192092896,,,
10.0,66192,,,0.008845090866088867,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,330979,0.0633547306060791,100.0,5.609446816379204e-06,1.0000056028366089,,,
,66846,100.0,1.0174856512890074e-08,,,,,1.0654232501983643,3.338124990463257,0.15217643976211548,0.446642130613327,0.15609993040561676,0.4436933696269989,0.254411906003952,0.3257220983505249,0.2100137174129486,0.2650092840194702,334241,,,,,4.20828914642334,7.994431495666504,2964.40478515625
10.0,66854,,,0.011391162872314453,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,334289,0.07627749443054199,100.0,9.756710994679452e-09,1.0,,,
10.0,67522,,,0.00896453857421875,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,337629,0.06481003761291504,100.0,1.8195633444406667e-08,1.0,,,
,68182,100.0,6.441152891056845e-07,,,,,1.065767765045166,3.399188280105591,0.15296407043933868,0.4545666575431824,0.15675805509090424,0.45176810026168823,0.25589290261268616,0.3308505415916443,0.21087823808193207,0.26646557450294495,340921,,,,,4.187035083770752,8.694157600402832,5967.94287109375
10.0,68198,,,0.008929014205932617,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,341009,0.057589054107666016,100.0,3.3935464216483524e-07,1.0000003576278687,,,
10.0,68880,,,0.00867772102355957,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,344419,0.06304788589477539,100.0,1.9272674123271827e-08,1.0,,,
,69546,100.0,7.488592856930154e-09,,,,,1.0659620761871338,3.4581093788146973,0.15298356115818024,0.4640215337276459,0.15674303472042084,0.46140366792678833,0.25677230954170227,0.33423706889152527,0.21156106889247894,0.26762503385543823,347741,,,,,3.6769392490386963,7.81747579574585,2483.62841796875
10.0,69568,,,0.00874471664428711,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,347859,0.06262874603271484,100.0,7.678658597853882e-09,1.0,,,
10.0,70264,,,0.008638620376586914,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,351339,0.06232571601867676,100.0,4.4830385377281345e-06,1.000004529953003,,,
,70936,100.0,1.0694369834141071e-08,,,,,1.0663005113601685,3.518517017364502,0.15418332815170288,0.4740667939186096,0.15778180956840515,0.4715332090854645,0.2581077218055725,0.34005680680274963,0.2126934975385666,0.2691517174243927,354691,,,,,3.846971273422241,6.971872329711914,1066.2171630859375
10.0,70966,,,0.01006627082824707,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,354849,0.061165809631347656,100.0,1.458438347867741e-08,1.0,,,
10.0,71676,,,0.008892297744750977,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,358399,0.056290388107299805,100.0,1.0173403097724076e-06,1.000001072883606,,,
,72354,100.0,7.549411407126172e-08,,,,,1.0665993690490723,3.581888198852539,0.15499457716941833,0.47815704345703125,0.158639058470726,0.47553420066833496,0.2598685622215271,0.3475472331047058,0.21408973634243011,0.27107658982276917,361781,,,,,4.144526958465576,8.234842300415039,3770.045166015625
10.0,72392,,,0.008558273315429688,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,361979,0.05249428749084473,100.0,1.9310682830564474e-08,1.0,,,
10.0,73116,,,0.009711742401123047,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,365599,0.06036257743835449,100.0,3.681928433252324e-07,1.0000003576278687,,,
,73802,100.0,2.420171263395332e-08,,,,,1.0667922496795654,3.641880989074707,0.1556873619556427,0.48637640476226807,0.15946191549301147,0.48394230008125305,0.2613077163696289,0.35528093576431274,0.2153492420911789,0.27268949151039124,369021,,,,,4.123272895812988,8.420506477355957,4539.2021484375
10.0,73848,,,0.009345054626464844,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,369259,0.06540822982788086,100.0,9.21185616675757e-09,1.0,,,
10.0,74586,,,0.008473634719848633,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,372949,0.05157756805419922,100.0,2.257981179809576e-08,1.0,,,
,75278,100.0,1.5636080874514846e-08,,,,,1.0670567750930786,3.7024476528167725,0.15681590139865875,0.5035479664802551,0.16071340441703796,0.5012847185134888,0.26245778799057007,0.3597877025604248,0.21612806618213654,0.2739075720310211,376401,,,,,3.3368756771087646,6.852428436279297,946.1758422851562
10.0,75332,,,0.009011030197143555,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,376679,0.06375241279602051,100.0,1.822097672743439e-08,1.0,,,
10.0,76086,,,0.008608102798461914,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,,380449,0.06282305717468262,100.0,1.9120621530532844e-08,1.0,,,
