batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_transformer.decoder.blocks.0.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.0.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.0.ffn_norm.bias,paramnorm_transformer.decoder.blocks.0.ffn_norm.weight,paramnorm_transformer.decoder.blocks.0.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.0.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.0.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.0.self_attn_norm.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.0.weight,paramnorm_transformer.decoder.blocks.1.ffn.ffn.2.weight,paramnorm_transformer.decoder.blocks.1.ffn_norm.bias,paramnorm_transformer.decoder.blocks.1.ffn_norm.weight,paramnorm_transformer.decoder.blocks.1.self_attn.Wo.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.0.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.1.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.2.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wk.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wq.weight,paramnorm_transformer.decoder.blocks.1.self_attn.attn_heads.3.Wv.weight,paramnorm_transformer.decoder.blocks.1.self_attn_norm.bias,paramnorm_transformer.decoder.blocks.1.self_attn_norm.weight,paramnorm_transformer.embedding.weight,paramnorm_transformer.linear.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
51.0,0,,,0.23711180686950684,0.0,25956.0,77867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,1.8089895248413086,1.9918323755264282,4.1814446449279785,65.4603500366211,,,
,2,2.1420865058898926,3.871610164642334,,,,,0.05171028897166252,0.026984164491295815,0.010371471755206585,0.9937527179718018,0.0515042208135128,0.051220495253801346,0.05132501199841499,0.0513295941054821,0.05151435360312462,0.05132203921675682,0.05152585729956627,0.050565388053655624,0.051629696041345596,0.051502685993909836,0.0511736236512661,0.0505044050514698,0.051074523478746414,0.01034059002995491,0.9943831562995911,0.051467157900333405,0.02686050347983837,0.023331450298428535,1.009804606437683,0.05123935267329216,0.05126040428876877,0.050746556371450424,0.05154842138290405,0.05096334591507912,0.05067092925310135,0.05174902454018593,0.05093659088015556,0.05191269516944885,0.051513731479644775,0.05076494440436363,0.05023696646094322,0.05202844366431236,0.010479433462023735,0.9939326643943787,0.9961511492729187,0.055553752928972244,51,,,,,2.1228504180908203,3.8736438751220703,48.117401123046875
51.0,2,,,0.20965147018432617,0.0010000000474974513,25956.0,77867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101,2.68237566947937,2.041917085647583,3.874971866607666,48.18134307861328,,,
,4,2.2306981086730957,3.870659828186035,,,,,0.05146423727273941,0.026904594153165817,0.0105112474411726,0.9884116053581238,0.051255963742733,0.050993211567401886,0.05109011009335518,0.05109383538365364,0.05129769444465637,0.05110577866435051,0.0512811653316021,0.05035097524523735,0.05141907557845116,0.05127561092376709,0.05093352869153023,0.05026958882808685,0.05082639679312706,0.010358601808547974,0.9892134070396423,0.051186028867959976,0.026897432282567024,0.02797284536063671,1.0061146020889282,0.051050931215286255,0.05100632831454277,0.050497379153966904,0.05130212381482124,0.05071697756648064,0.05042917653918266,0.05147711932659149,0.05068590119481087,0.05165596678853035,0.051211919635534286,0.0505121685564518,0.04998590797185898,0.05175214633345604,0.01126720942556858,0.9883953332901001,0.9909924864768982,0.0571061410009861,103,,,,,2.1023025512695312,3.872847318649292,48.0790901184082
51.0,4,,,0.17309904098510742,0.0010000000474974513,25956.0,77867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,2.7277143001556396,2.1382336616516113,3.8696534633636475,47.92577362060547,,,
,6,2.253814220428467,3.86382794380188,,,,,0.051213234663009644,0.02680826187133789,0.01056788768619299,0.9834904074668884,0.050995565950870514,0.05082641541957855,0.05090513080358505,0.05086437985301018,0.05114604905247688,0.05094190314412117,0.05102594569325447,0.05020845681428909,0.05128728598356247,0.051036614924669266,0.05075691640377045,0.05010058358311653,0.05057695508003235,0.010077876970171928,0.9844115376472473,0.050926171243190765,0.026904232800006866,0.029929229989647865,1.0002458095550537,0.050866056233644485,0.050754718482494354,0.05025269091129303,0.05109450966119766,0.05046342313289642,0.05018351599574089,0.051251236349344254,0.050423283129930496,0.05137655511498451,0.05093739926815033,0.05028175190091133,0.0497606061398983,0.05151783302426338,0.011957498267292976,0.9831873774528503,0.9860872030258179,0.05845265835523605,153,,,,,2.079186201095581,3.8674964904785156,47.822513580322266
51.0,6,,,0.2042369842529297,0.0010000000474974513,25956.0,77867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,1.609405517578125,2.130528450012207,3.866224765777588,47.7617301940918,,,
,8,2.388657808303833,3.860443592071533,,,,,0.05100278928875923,0.026744158938527107,0.010466556996107101,0.9784242510795593,0.05078921839594841,0.05093947425484657,0.05095576122403145,0.05073710158467293,0.051172684878110886,0.05093530938029289,0.05083126574754715,0.050287455320358276,0.05140499398112297,0.05087706446647644,0.05078481137752533,0.05011795088648796,0.050389062613248825,0.009467415511608124,0.9796568751335144,0.05066525191068649,0.026878366246819496,0.0305365901440382,0.992919385433197,0.05066867545247078,0.05053364112973213,0.05004135146737099,0.050932127982378006,0.05022302642464638,0.0499316044151783,0.050992000848054886,0.05025123432278633,0.051181860268116,0.050702303647994995,0.050061509013175964,0.04953690618276596,0.05129024386405945,0.01271856389939785,0.97760009765625,0.9810730218887329,0.06011300906538963,205,,,,,2.0522172451019287,3.8649933338165283,47.70295333862305
51.0,8,,,0.1868152618408203,0.0010000000474974513,25956.0,77867.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254,2.606346845626831,2.234550714492798,3.8640449047088623,47.65773391723633,,,
,10,2.431037187576294,3.8545355796813965,,,,,0.0509820431470871,0.02685985341668129,0.010068703442811966,0.9740322232246399,0.050897371023893356,0.05187225714325905,0.05192473158240318,0.0510345995426178,0.05183233320713043,0.05156679078936577,0.050996098667383194,0.05092485621571541,0.05212695524096489,0.05116681009531021,0.05153574049472809,0.050914034247398376,0.050618551671504974,0.008646158501505852,0.9755254983901978,0.0504450649023056,0.026861703023314476,0.03023141250014305,0.984870970249176,0.050507936626672745,0.0508316271007061,0.0503331795334816,0.05086285248398781,0.050220198929309845,0.04989707097411156,0.050869736820459366,0.050677187740802765,0.051577430218458176,0.050499800592660904,0.05018491670489311,0.04961502552032471,0.05117416754364967,0.013520494103431702,0.9723670482635498,0.9764142036437988,0.06203918531537056,255,,,,,2.0676281452178955,3.8621580600738525,47.567893981933594
