batches_per_epoch,epoch,full_train_acc,full_train_loss,fwd_time_in_epoch,learning_rate,len_train_ds,len_val_ds,paramnorm_embedding.weight,paramnorm_mlp.0.bias,paramnorm_mlp.0.weight,paramnorm_mlp.3.bias,paramnorm_mlp.3.weight,paramnorm_mlp.6.bias,paramnorm_mlp.6.weight,paramnorm_mlp.9.bias,paramnorm_mlp.9.weight,step,time_per_epoch,train_accuracy,train_loss,train_perplexity,val_accuracy,val_loss,val_perplexity
10.0,0,,,0.007585763931274414,0.0,4704.0,4705.0,,,,,,,,,,9,0.07314467430114746,0.829081654548645,5.471468925476074,237.8092498779297,,,
,2,1.1904761791229248,5.417551040649414,,,,,0.9939314723014832,0.027048559859395027,0.026442192494869232,0.036522116512060165,0.03616075962781906,0.0376816987991333,0.036161839962005615,0.035166576504707336,0.03621881082653999,11,,,,,0.9139213562011719,5.418862342834473,225.62229919433594
10.0,2,,,0.008450984954833984,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,19,0.16844391822814941,1.1479592323303223,5.364474296569824,213.6788787841797,,,
,4,1.1904761791229248,5.008483409881592,,,,,0.9939314723014832,0.02959953062236309,0.027033446356654167,0.040004435926675797,0.03709283843636513,0.04135223478078842,0.03674456849694252,0.03746602684259415,0.037531085312366486,21,,,,,0.8714133501052856,5.017801761627197,151.07882690429688
10.0,4,,,0.008354663848876953,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,29,0.1830892562866211,1.1267006397247314,4.870852947235107,130.43211364746094,,,
,6,1.2967686653137207,4.6001458168029785,,,,,0.9939314723014832,0.03443412855267525,0.028414810076355934,0.044550780206918716,0.03937221318483353,0.04566632956266403,0.038009073585271835,0.040443792939186096,0.039649948477745056,31,,,,,0.7651434540748596,4.638008117675781,103.33830261230469
10.0,6,,,0.0065958499908447266,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,39,0.06132173538208008,0.829081654548645,4.609561443328857,100.44009399414062,,,
,8,1.1479591131210327,4.5955986976623535,,,,,0.9939314723014832,0.03674444183707237,0.02914048545062542,0.04679938033223152,0.04058138653635979,0.0478348508477211,0.038600046187639236,0.0421103797852993,0.04099724814295769,41,,,,,0.9139213562011719,4.604458332061768,99.92884063720703
10.0,8,,,0.00861358642578125,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,49,0.1665029525756836,1.1267006397247314,4.608285427093506,100.31200408935547,,,
,10,1.2542517185211182,4.580707550048828,,,,,0.9939314723014832,0.03622683510184288,0.029118359088897705,0.04720105975866318,0.04046252742409706,0.04856771230697632,0.03862600028514862,0.04276319593191147,0.041601818054914474,51,,,,,0.8076514005661011,4.602069854736328,99.6904525756836
10.0,10,,,0.008190393447875977,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,59,0.06835317611694336,0.9353741407394409,4.592386245727539,98.72974395751953,,,
,12,1.318027138710022,4.578540802001953,,,,,0.9939314723014832,0.03484410047531128,0.02889876626431942,0.046896204352378845,0.039994630962610245,0.04871651157736778,0.0385262556374073,0.04301772639155388,0.04186196252703667,61,,,,,0.8289054036140442,4.602175235748291,99.7009506225586
10.0,12,,,0.006234169006347656,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,69,0.05835890769958496,0.9566326141357422,4.585093021392822,98.0123062133789,,,
,14,1.1479591131210327,4.574193000793457,,,,,0.9939314723014832,0.033474911004304886,0.02870899811387062,0.04638790711760521,0.03957522660493851,0.04865964874625206,0.038427408784627914,0.0431702584028244,0.04199613258242607,71,,,,,0.9139213562011719,4.596755504608154,99.16206359863281
10.0,14,,,0.005957603454589844,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,79,0.05644679069519043,1.211734652519226,4.581361770629883,97.64727020263672,,,
,16,1.0416666269302368,4.5737223625183105,,,,,0.9939314723014832,0.0324782058596611,0.028650902211666107,0.04590216279029846,0.03940798342227936,0.04859865456819534,0.038394127041101456,0.04324333742260933,0.042146001011133194,81,,,,,1.0201913118362427,4.597736358642578,99.2593765258789
10.0,16,,,0.008315086364746094,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,89,0.1855320930480957,0.8715986013412476,4.578183174133301,97.33738708496094,,,
,18,1.1479591131210327,4.572490215301514,,,,,0.9939314723014832,0.03190610185265541,0.02873532846570015,0.045684073120355606,0.039505597203969955,0.04861386492848396,0.038425594568252563,0.043318405747413635,0.042386967688798904,91,,,,,0.9139213562011719,4.600915908813477,99.57547760009766
10.0,18,,,0.006056785583496094,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,99,0.06162261962890625,1.062925100326538,4.577239990234375,97.2456283569336,,,
,20,1.1267006397247314,4.570612907409668,,,,,0.9939314723014832,0.03158896788954735,0.028917057439684868,0.04567398503422737,0.03978145495057106,0.048635825514793396,0.03850048780441284,0.043385136872529984,0.042699605226516724,101,,,,,0.9564293026924133,4.602168560028076,99.70028686523438
10.0,20,,,0.006139039993286133,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,109,0.05733084678649902,1.1692177057266235,4.576071739196777,97.132080078125,,,
,22,1.1479591131210327,4.569890022277832,,,,,0.9939314723014832,0.03127113729715347,0.029131900519132614,0.04561588540673256,0.040121547877788544,0.04866659641265869,0.038591884076595306,0.04344687610864639,0.0430338978767395,111,,,,,0.9139213562011719,4.603984355926514,99.88148498535156
10.0,22,,,0.005974292755126953,0.0010000000474974513,4704.0,4705.0,,,,,,,,,,119,0.05739402770996094,1.0416666269302368,4.576531410217285,97.1767349243164,,,
